,pitcher,release_speed,release_pos_x,release_pos_z,pfx_x,pfx_z,release_spin_rate,release_extension,spin_axis,swinging_strike,name,throw_hand,height,weight,age_on_july_1
66,542888,94.47572314049587,-2.007210743801653,5.878037190082644,-0.5049586776859504,0.9871900826446282,2294.0774793388427,6.610227272727273,199.64462809917356,0.12706611570247933,ShawnMichaelArmstrong,R,74,225,31.802874743326488
67,542914,95.28348082595869,-1.406519174041298,5.887669616519174,-0.9855752212389381,1.216519174041298,2001.3047337278106,6.460176991150442,206.28994082840237,0.0471976401179941,AnthonyEdwardBass,R,74,205,34.66392881587954
68,542947,89.11532976827094,3.017843137254902,5.919696969696969,0.8370053475935829,0.4116577540106952,2029.8003565062388,6.650980392156862,131.6007130124777,0.08199643493761141,RichardSidneyBleier,L,75,215,35.20876112251882
69,543037,97.14625000000001,-1.8042119565217392,5.774353260869565,-0.7662880434782608,1.429070652173913,2434.541304347826,6.455869565217391,210.51521739130436,0.11413043478260869,GerritAlanCole,R,76,220,31.811088295687885
70,543101,92.30285714285714,-1.5720714285714286,5.6035,-1.1629285714285715,1.1655,2139.535714285714,6.652857142857143,220.21428571428572,0.014285714285714285,AnthonyJ.DeSclafani,R,74,195,32.20260095824778
71,543135,94.68285371702638,-2.405263788968825,5.4304316546762585,-0.7879256594724221,1.156294964028777,2179.205035971223,6.689088729016786,221.13549160671462,0.0671462829736211,NathanEdwardEovaldi,R,74,217,32.37782340862423
72,543238,96.8595652173913,0.8191304347826087,5.6251304347826085,0.5563913043478261,1.4348260869565217,2235.7743362831857,6.086283185840708,154.05309734513276,0.11739130434782609,AnthonyRobertGose,L,72,200,31.890485968514717
73,543243,90.83065755764304,-0.8764218616567037,5.468326216908625,-0.4240307429547396,0.8339880444064902,2531.0188841201716,6.483945345858241,183.3596566523605,0.07771135781383433,SonnyDouglasGray,R,70,195,32.64613278576318
74,543272,92.5018469656992,2.344802110817942,6.358548812664908,1.0736147757255936,1.1139050131926123,2325.593667546174,5.692348284960422,134.7862796833773,0.06596306068601583,BradleyRichardHand,L,75,224,32.28199863107461
75,543294,86.66757105943152,-2.217622739018088,6.202609819121447,-0.809857881136951,1.0020413436692508,1950.0568475452196,5.707364341085271,207.5968992248062,0.05555555555555555,KyleChristianHendricks,R,75,190,32.563997262149215
76,543339,96.92837837837837,-2.778963963963964,5.405945945945946,-0.9425225225225226,1.2916216216216216,2406.4298642533936,6.3500000000000005,221.31674208144796,0.13963963963963963,DanielClaiborneHudson,R,75,215,35.31279945242984
77,543475,91.07328094302554,-1.6403732809430256,6.0933267845448595,-0.6542501637197118,1.2312966601178783,2179.8709888670596,6.828487229862476,203.05173542894565,0.0779305828421742,JordanHortonLyles,R,77,230,31.698836413415467
78,543507,96.07336065573772,-1.202704918032787,5.673401639344262,-0.6648770491803279,1.4264344262295083,2294.4836065573772,7.048770491803279,215.06967213114754,0.12295081967213115,TrevorJ.May,R,77,240,32.76933607118412
79,543521,88.93098591549295,-2.2177464788732393,5.437283702213279,0.04432595573440644,0.7478269617706238,2507.5714285714284,6.573038229376258,205.53319919517102,0.10261569416498995,CollinAlexanderMcHugh,R,74,191,35.03353867214237
80,543606,90.75322976287816,-1.007187244480785,5.977743254292722,-0.513164349959117,1.3256091578086673,2122.1275551921503,6.130253475061325,201.31234668847097,0.10793131643499591,JacobToddOdorizzi,R,74,190,32.26283367556468
81,543766,92.85253077975376,-2.8240082079343365,6.100123119015048,0.30120383036935705,0.703844049247606,2383.3425034387897,5.851299589603284,182.16643741403027,0.08755129958960328,BryanAnthonyShaw,R,73,226,34.64476386036961
82,544365,93.58079710144928,1.8445652173913045,5.56463768115942,1.1538043478260869,0.8813405797101449,1936.0108695652175,6.429710144927536,133.65217391304347,0.07608695652173914,ManuelBañuelos,L,70,215,31.301848049281315
83,544727,95.29616858237547,-1.4710919540229885,6.24264367816092,-1.1331800766283524,0.5784482758620689,2226.155172413793,5.811685823754789,228.0977011494253,0.10919540229885058,JeurysFamilia,R,75,240,32.72279260780287
84,545343,93.57277227722773,-2.2251980198019803,5.247475247524752,-0.45643564356435645,1.3086138613861384,2177.4875621890546,6.164676616915423,212.59701492537314,0.054455445544554455,LouisGibsonHead,R,73,180,32.18891170431211
85,547001,94.6390243902439,-1.3740853658536585,6.081585365853659,-0.7660975609756098,1.1853048780487805,2292.371951219512,5.921951219512195,217.78048780487805,0.11585365853658537,CodyAustinPoteet,R,73,190,27.920602327173167
86,547179,93.49911504424779,-1.9338606194690267,5.587533185840708,-0.9605420353982301,0.9307411504424778,2378.0133037694013,5.864380530973451,223.4090909090909,0.06969026548672566,MichaelCliftonLorenzen,R,75,217,30.48870636550308
87,547943,88.47018348623853,2.09894495412844,5.889954128440367,0.8371100917431193,1.0445412844036697,1958.545871559633,6.595871559633028,138.1605504587156,0.03669724770642202,HyunJinRyu,L,75,250,35.26899383983573
88,547973,97.60077319587629,0.6820360824742268,6.064587628865979,0.4208762886597938,1.4795618556701031,2364.6976744186045,7.106443298969072,154.43669250645993,0.09020618556701031,AlbertinAroldisChapman,L,76,218,34.338124572210816
89,548384,89.4622418879056,2.8795575221238936,5.608377581120944,0.6011209439528024,0.4737463126843658,2422.3431952662722,5.741002949852508,146.68639053254438,0.05604719764011799,BrooksLeeRaley,L,75,200,34.0041067761807
90,548389,91.53144578313254,-0.9856626506024097,6.933036144578313,-0.5418313253012048,1.5039518072289155,2102.0108564535585,6.025180722891566,203.6670687575392,0.0783132530120482,ThomasRossStripling,R,73,215,32.602327173169066
91,552640,94.83188405797101,-1.1131159420289856,6.062101449275363,-1.0296376811594203,1.0894927536231884,2404.913043478261,6.521739130434782,205.71014492753622,0.028985507246376812,AndrewKittredge,R,73,230,32.290212183436005
